name,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05
삼성전자_005930,288500_280000_285500_36031094,291500_266000_279000_41211149,285500_262000_284000_35540134,299500_282000_296000_39314752,296500_266000_270500_38075487,288500_262000_281000_33555214,281500_266000_275500_30767569,282500_263500_276000_35662077,299500_287000_299500_36168689,300500_292000_292500_18395274,302000_297500_299000_23441371,323000_306000_307000_33916688,306500_287500_299500_30195334,319000_305500_317000_37241537,354500_319500_349000_45052488,370000_342000_360500_44720282,366000_348000_351500_34771037,343000_325000_329000_33725012,315500_292500_295500_38929682,324000_300000_322000_30124249,314500_295250_302500_27050362,306500_287500_299000_31420307,339000_320000_322500_31006148,344500_334000_337000_21500067,345500_332500_343000_17548685,348000_331500_346500_18134051,363000_344500_362500_32764450,374500_346250_354000_43284898,363000_342000_353500_24330451,353000_310000_310000_41266630,341000_314000_340500_47809959,362500_352000_358500_36157158,356500_321500_339500_39735951,335500_316000_323000_35436521,343000_321000_334000_29237216,339000_311500_314500_24968382,304000_281500_286000_38905074,313000_283500_309500_31520538,325000_303000_318000_23872879,310000_286000_296000_32421032,300000_273500_277500_33525758,291500_267500_278000_29703616,298000_282000_285000_20088811,292500_253000_254500_31882652,270000_247000_263000_40086496,284500_273000_279500_24873414,265500_252500_255000_27001478,257500_240000_244000_26804038,263500_243000_259000_20386896,276000_260000_260500_22292003,273000_263000_270000_16011816,266500_247000_249500_26175580,258500_246000_254000_23296044,240000_218500_220000_41639623,234000_189200_208500_65555523,226000_202000_207000_46694193,267000_243000_262500_58478873,249500_238000_239500_27825493,244500_228000_240000_29433821,254500_244000_246000_22444447
SK하이닉스_000660,1949000_1826000_1880000_7433039,1967000_1804000_1835000_9160593,1990000_1781000_1976000_7126921,1994000_1937000_1970000_6040068,1995000_1789000_1819000_7485233,1897000_1731000_1840000_6481608,1823000_1740000_1745000_4575855,1778000_1690000_1745000_5535123,1954000_1796000_1940000_5096690,1952000_1912000_1941000_3135190,2087000_2006000_2052000_4903591,2358000_2200000_2243000_7545783,2305000_2151000_2289000_6229499,2379000_2290500_2333000_8518013,2398000_2296000_2363000_5602897,2407000_2259000_2360000_5837216,2327000_2262000_2298000_3941067,2188000_2070000_2070000_5778751,2072000_1855000_1911000_6610833,2226000_1998000_2215000_5878039,2180000_1992000_2048000_4928269,2163000_1960000_2101000_6625775,2304000_2150000_2150000_5286416,2322000_2265000_2288000_3872910,2400000_2286000_2382000_3644469,2523000_2334000_2521000_3980010,2738000_2556000_2685000_5808765,2891000_2688000_2764000_7478195,2945000_2728000_2919000_5179795,2943000_2536000_2555000_8050335,2703000_2453000_2580000_7487916,2987000_2749000_2917000_6790853,2880000_2600000_2673000_7467492,2688000_2517000_2628000_5217788,2742000_2541000_2650000_5109213,2723000_2502000_2560000_4277276,2448000_2187000_2187000_7685914,2454000_2045000_2425000_7984914,2497000_2292000_2343000_4235360,2343000_2080000_2201000_6351195,2329000_2076000_2076000_6975631,2270000_2091000_2186000_6261504,2305000_2166000_2180000_4827239,2142000_1839000_1845000_8040043,1936000_1678000_1913000_10447011,2171000_2070000_2082000_6046951,1919000_1821000_1842000_5608812,1892000_1735000_1764000_5876444,1889000_1732000_1836000_4639208,2006000_1830000_1830000_4802637,1948000_1845000_1919000_4119477,1894000_1752000_1759000_4935624,1821000_1707000_1816000_4030933,1674000_1550000_1550000_8120587,1619000_1246000_1401000_12428883,1459000_1287000_1322000_9543189,1718000_1586000_1718000_10499619,1645000_1562000_1567000_5432833,1630000_1483000_1577000_5391210,1701000_1647000_1668000_3740705
SK스퀘어_402340,1205000_1130000_1187000_1345499,1231000_1099000_1126000_1278470,1193000_1071000_1190000_1015340,1208000_1147000_1171000_951485,1190000_1073000_1098000_1042701,1100000_983000_1093000_1003190,1073000_1008000_1020000_743849,1064000_991000_1029000_909373,1181000_1072000_1179000_946510,1198000_1148000_1185000_783138,1241000_1161000_1181000_851153,1337000_1264000_1276000_1187519,1269000_1173000_1237000_891447,1276000_1217000_1233000_1355931,1289000_1210000_1256000_1130316,1375000_1212000_1346000_1086778,1392000_1293000_1361000_858305,1334000_1225000_1258000_883256,1200000_1102000_1118000_882659,1273000_1146000_1269000_848972,1231000_1139000_1183000_771257,1234000_1075000_1228000_1367315,1422000_1315000_1358000_1522588,1444000_1355000_1413000_1053471,1510000_1380000_1501000_872218,1612000_1527000_1596000_1001859,1738000_1623000_1700000_1177611,1891000_1724000_1780000_1516850,1987000_1800000_1970000_1416660,2189000_1832000_1832000_2538990,1910000_1611000_1799000_2170209,1990000_1823000_1899000_1450529,1870000_1624000_1720000_1151772,1702000_1570000_1640000_1286438,1765000_1523000_1697000_1515394,1792000_1595000_1757000_1812864,1682000_1525000_1525000_1421407,1603000_1407000_1589000_1323744,1692000_1465000_1495000_864911,1502000_1287000_1356000_1196192,1380000_1227000_1270000_1398783,1385000_1258000_1327000_935212,1439000_1351000_1409000_874915,1400000_1154000_1161000_1103883,1204000_1086000_1190000_1092247,1439000_1310000_1382000_1014671,1279000_1194000_1212000_757396,1239000_1116000_1177000_738526,1263000_1156000_1253000_686825,1400000_1223000_1230000_854385,1291000_1200000_1221000_691321,1203000_1104000_1109000_783742,1140000_1035000_1096000_892851,1018000_916000_925000_1326609,967000_768000_850000_1293266,872000_770000_799000_1364135,1038000_944000_1038000_1039044,1070000_992000_1025000_831890,1096000_999000_1060000_984406,1157000_1105000_1119000_674028
삼성전자우_005935,197900_190100_194900_6586322,197000_180200_187000_8015932,190500_174100_189100_6052510,199000_188600_193700_5225227,193700_175500_179400_4981609,188000_171000_185100_5119376,183600_174600_180800_4185947,183400_171000_177800_5594889,188800_183900_187800_5314354,189700_184700_187500_3092987,192000_186500_187200_4040549,199700_192000_192000_6741132,195500_182700_190900_5695041,207500_195500_202500_9498746,235500_203000_229000_14857537,243500_223500_231500_9328789,230000_220000_220000_7588895,217500_205500_211000_5962640,205000_180900_192500_4790088,207000_195200_203500_5316432,199700_187200_191500_4620983,195400_183000_193500_4008103,215000_203000_207000_4673070,220000_213500_216000_3081386,224500_216000_224000_3341287,226500_216000_226500_2926145,231000_224500_228500_5115717,237000_217000_222000_6194547,232000_213000_224000_3735142,227500_202500_202500_4764901,218500_203500_213500_4752399,240500_222500_235000_8044722,232000_214000_220500_4988087,215500_206000_210500_3463944,218000_205000_212000_4357953,218000_199400_204500_3281780,200500_187400_188700_4587845,208500_188100_208000_5356377,220500_203000_212500_4058242,214000_193500_199300_3981946,203000_183600_186900_4237237,197500_182100_185600_4556267,199300_186500_194300_3548721,197300_175000_176900_4416913,186400_171000_182200_6188086,198100_190500_192000_3130375,184900_171200_172000_4486229,176000_163900_169200_4676613,181500_169100_181000_3138452,193500_183600_185100_3878578,193800_187200_191100_2367144,190600_173000_177100_3017436,184900_170000_179800_2104536,170900_157000_158200_5777392,171000_139600_153400_8254729,165400_147600_151000_5680457,192000_174100_191000_8667890,184900_177400_178000_3309342,183500_170900_176400_2567736,186300_180100_183900_2229739
삼성전기_009150,908000_858000_900000_949645,995000_899000_958000_2172764,1060000_921000_1029000_1134999,1060000_1000000_1024000_672079,1133000_980000_1010000_1329154,1084000_926000_1031000_1141621,1040000_957000_987000_882288,1106000_924000_1061000_1908859,1219000_1120000_1204000_1364487,1363000_1204000_1340000_1366361,1610000_1447000_1572000_1728808,1734000_1580000_1630000_1862646,1880000_1554000_1849000_2497729,2192000_1912000_2127000_2960769,2086000_1989000_2005000_1639739,1886000_1659000_1813000_1954960,1844000_1707000_1716000_1435204,1845000_1615000_1757000_1612482,1742000_1552000_1664000_1261953,1972000_1719000_1970000_1650596,1945000_1746000_1805000_1295394,1844000_1691000_1805000_1142539,1991000_1694000_1714000_1940690,1999000_1835000_1999000_1497461,2071000_1970000_2048000_1084769,2065000_1972000_2032000_590565,2277000_2007000_2200000_1621006,2417000_2169000_2270000_1728303,2320000_2185000_2228000_864651,2219000_1974000_1990000_1212394,2090000_1901000_1964000_1093489,2092000_1965000_1997000_835786,2149000_1910000_1993000_1305633,2129000_1984000_2038000_794289,2237000_2056000_2184000_1322616,2292000_2129000_2205000_989538,2086000_1904000_1926000_917276,1989000_1734000_1989000_1180205,1997000_1778000_1828000_820561,1852000_1602000_1648000_1107652,1673000_1462000_1479000_1209425,1586000_1418000_1493000_981955,1638000_1531000_1584000_875317,1564000_1261000_1289000_1321694,1330000_1163000_1260000_1471004,1446000_1342000_1413000_942313,1326000_1257000_1277000_635308,1362000_1203000_1275000_965749,1328000_1236000_1310000_649462,1479000_1340000_1345000_808253,1475000_1380000_1448000_663151,1450000_1318000_1326000_565681,1399000_1272000_1325000_611650,1226000_1085000_1114000_1198287,1167000_926000_1029000_1436271,1075000_865000_879000_1400040,1142000_1024000_1142000_613210,1260000_1155000_1181000_1107138,1279000_1112000_1185000_982295,1370000_1290000_1356000_1023094
현대차_005380,654000_610000_646000_2569392,702500_606000_646000_4856178,710000_642000_710000_4051665,730000_692000_712000_2399620,774500_678000_700000_4332789,697000_638000_663000_2218142,661000_596000_604000_2679164,605000_570000_592000_1954219,672000_607000_666000_1932919,667000_642000_655000_997831,694000_667000_689000_1364781,693000_666000_681000_1879670,714000_651000_677000_2192520,739000_701000_723000_3095790,783000_727000_750000_2720257,772000_697000_729000_2316547,727000_692000_700000_1062671,715000_650000_700000_1525982,664000_620000_639000_1331906,667000_620000_639000_1610713,653000_583000_602000_1682688,598000_561000_597000_1412678,644000_604000_607000_1501032,659000_633000_647000_1099804,654000_627000_640000_1286352,633000_613000_618000_891522,620000_600000_601000_928129,631000_590000_613000_1831967,600000_581000_581000_962320,583000_508000_511000_1868817,522000_493500_509000_1238769,524000_501000_503000_1084499,502000_460500_480500_1567612,504000_463000_497000_1190842,506000_485250_495000_786003,514000_474500_487500_848321,501000_457000_482000_1252976,493500_458000_492000_968532,513000_485000_502000_793947,495500_460500_479500_949321,484500_453500_462500_917535,463500_433500_445500_1131600,468000_447500_457500_654103,482000_440500_444000_874265,434000_403250_424500_1300166,439500_424000_434000_941250,431000_412000_425000_791287,410000_394500_399000_904770,404000_381000_399000_1118030,433000_411500_418000_877549,433000_416500_432000_717603,418500_390000_401000_896066,411000_393500_403000_563634,390500_359000_364000_898415,382000_338500_353500_1566493,369000_343500_351000_961582,391500_366000_388000_1085656,401500_376000_393000_826843,396500_376000_392500_680354,411000_400500_404500_545657
LG에너지솔루션_373220,478500_463000_468000_407574,480000_430500_443000_668326,445000_425000_430000_455234,447000_432000_442000_368128,470000_410500_417000_798242,416500_391500_408000_373359,416000_389500_400000_376633,406000_382000_384500_411862,401000_391000_401000_300978,416000_394500_398500_435706,411000_397000_399500_321431,404000_383000_383500_463463,447000_413000_442000_1665103,465000_432000_458000_1287237,476000_446000_455000_778389,497500_438000_442500_1496902,463000_413500_422000_708012,428500_405500_414000_445122,404000_383000_388500_422550,401500_385500_396500_420962,407000_375000_385500_354289,392000_367000_384500_450781,414000_392000_400000_460043,425000_407000_420500_312604,423500_406500_410500_327489,421500_406000_416000_224023,415000_398000_400000_342610,422000_391000_404500_753314,407500_385000_385500_358905,399500_360000_362000_484181,368500_354000_365500_353220,374000_352000_352000_448999,356500_323000_331500_582932,400500_334000_400500_833095,392000_362000_362000_672385,366500_345000_348000_395443,363500_339000_354000_358138,363500_342500_362500_397490,362500_347500_354500_330389,352000_323000_332000_567089,329500_312500_315500_372285,333500_309500_313500_505757,333000_321500_326000_263154,346000_325500_328500_313372,332000_316500_322000_368900,341500_328000_335000_323299,349000_329000_334000_314975,333500_315500_317500_310401,324000_312000_317000_222065,333500_321000_321000_217211,350000_322000_348000_327080,342000_326000_329500_232863,338000_328000_333000_126791,328500_308000_314000_338100,319000_290500_300500_397135,328000_298000_320000_480095,332500_309000_328000_491853,323500_310500_316000_279360,330500_315000_328500_270560,342000_330000_335500_286160
삼성바이오로직스_207940,1471000_1454000_1458000_67575,1477000_1420000_1443000_84654,1459000_1402000_1410000_76826,1449000_1387000_1449000_75777,1469000_1400000_1419000_82235,1415000_1356000_1386000_54234,1382000_1336000_1346000_68759,1361000_1300000_1337000_82110,1404000_1366000_1395000_50454,1444000_1387000_1415000_65301,1438000_1416000_1425000_44640,1419000_1375000_1384000_45686,1405000_1340000_1373000_58500,1386000_1336000_1363000_128284,1400000_1344000_1377000_67442,1401000_1350000_1367000_54844,1383000_1342000_1350000_69504,1408000_1329000_1340000_47701,1295000_1228000_1243000_78137,1307000_1238000_1296000_59718,1305000_1253000_1298000_44562,1310000_1244000_1286000_66303,1326000_1282000_1295000_54753,1359000_1320000_1332000_43859,1357000_1321000_1333000_40379,1380500_1315000_1370000_60218,1456000_1362000_1430000_113690,1443000_1346000_1374000_99207,1374000_1290000_1295000_51541,1344000_1270000_1273000_61840,1396000_1258000_1385000_95518,1428000_1361000_1386000_76241,1402000_1309000_1343000_53490,1456000_1347000_1448000_85788,1459000_1380000_1391000_74245,1419000_1352000_1396000_39712,1450000_1353000_1406000_65143,1460000_1401000_1421000_54162,1422000_1373000_1405000_35577,1426000_1376000_1422000_51193,1432000_1350000_1363000_48968,1379000_1304000_1325000_51344,1415000_1333000_1395000_43685,1445000_1383000_1400000_45614,1400000_1339000_1368000_65068,1418000_1376000_1383000_40849,1408000_1355000_1396000_29974,1428000_1341000_1345000_40527,1415000_1346000_1395000_51667,1437000_1372000_1372000_37607,1414000_1360000_1379000_42385,1537000_1380000_1518000_198056,1575000_1486000_1545000_99652,1575000_1512000_1549000_155654,1561000_1435000_1479000_91074,1541000_1442000_1527000_83710,1537000_1455000_1485000_90690,1473000_1411000_1423000_47113,1476000_1406000_1476000_51711,1519000_1473000_1491000_51158
KB금융_105560,163200_158200_158800_1775411,159500_150800_153600_1749942,155000_150900_152000_1284353,156500_150700_156000_1283678,159700_153300_155600_1530297,155900_149300_153000_986810,155300_149200_152800_1157980,155500_149200_151700_1337443,157200_153900_155800_827912,161300_156100_160000_1111571,162000_157300_157300_1048890,158400_153300_153800_1180209,155100_146700_149700_1497632,153500_148200_150600_2006731,155500_149100_152100_1706556,156900_150000_156600_1307922,165900_154600_164200_2143129,175700_166000_171600_2955491,169500_150000_151500_2364470,157200_151000_154800_1775435,156800_149300_154000_1457834,153800_147400_151500_1776398,167200_153700_161200_1564173,175000_162200_169600_1412182,182700_170600_172000_1678455,176500_163500_164000_1530191,164500_158700_163100_1519100,165900_155000_158300_2181977,158600_155100_157000_956909,163800_151400_153700_1749820,156400_149100_151800_1422437,156400_151400_151900_1076476,153000_145000_149300_1103176,154500_146200_153700_1318055,161800_155200_159000_1512863,162500_154600_158500_1193889,173800_158700_165000_2309641,172600_165000_170100_1562948,177000_168500_170900_1018511,176900_168500_173200_1562593,176600_169200_171000_2208396,176000_169400_171400_2385649,189900_175000_184400_2152385,194500_184100_186200_2401881,190200_179600_180000_2315220,185200_180000_181600_1769738,187500_177500_181100_1299467,180000_165600_168800_1831119,174500_164100_174000_1022673,179800_174200_175100_848625,180100_174000_176300_1044277,176400_165600_171500_1122770,175000_169600_172600_784284,174200_163700_165200_1297643,170500_156000_160100_1626420,171700_160000_167400_1676656,169300_161600_168500_1520142,170600_164600_169500_921537,170600_165800_168800_743858,176800_170400_170700_834785
삼성생명_032830,314500_298000_299500_469336,316500_291500_299500_537010,308000_289500_306000_331525,334500_308000_330000_622246,339500_300000_310000_665867,324000_302000_313500_394802,325500_307500_312000_562673,323000_293500_312000_479750,359000_331500_355000_436740,370000_352500_364500_424209,373500_344500_348000_464462,370500_350500_354500_424017,361000_340000_357500_474676,391500_355000_388500_789483,420500_383000_410000_669413,485000_412000_480000_772311,457000_417000_438000_1025694,420000_395500_412500_509906,392500_349500_375500_551825,394500_375000_393000_492974,379500_356000_368000_679195,369500_342000_365000_762495,406500_381500_385500_398960,424000_402500_423000_445849,433000_421500_431000_251317,450000_424000_447000_343520,470500_443000_469000_558690,516500_478500_497000_681949,491500_450500_450500_539124,503000_425000_425000_710092,443000_415500_433000_708886,467500_441000_447000_575517,450000_415000_432500_436390,420000_400000_408500_515300,416000_385000_401000_514927,409000_375500_387000_468913,381000_352500_370500_476440,389000_355000_383000_465820,398500_376500_393500_271668,392500_359500_375000_349281,366000_332000_346000_554995,346000_317500_326000_770711,347000_329000_340500_814715,340500_314500_326000_415904,324500_301000_317000_581945,343500_330500_337500_515532,344000_318250_331000_361459,325500_296500_301500_567164,317000_294500_316000_638066,343000_318000_320000_345636,333500_319500_329500_367666,325500_307000_318000_234813,322500_305000_311500_194030,296000_276000_285000_442214,288000_246000_265500_581469,280000_257000_264000_617177,315500_290000_311500_561861,303000_279000_287500_355395,288000_268500_278000_691982,296500_281500_294000_633509
